FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,ProcessedBy,RakerNum,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180130,Arc,0.87,N,42.64,9.99,8.55,F,Grant,,,,,,,,,,,,,
S180129,Arc,0.97,N,46.12,10.14,9.38,F,Grant,,,,,,,,,,,,,
S180128,Arc,2.07,N,59.05,13.31,12.44,F,Grant,,,,,,,,,,,,,
S180127,Arc,2.1,N,60.44,13.86,12.98,F,Grant,,,,,,,,,,,,,
S180126,Arc,1.91,N,54.22,12.85,12.76,U,Grant,,,,,,,,,,,,,
S180125,Arc,1.22,N,45.28,10.31,10.13,F,Grant,,,,,,,,,,,,,
S180117,Arc,0.77,N,38.79,9.59,8.33,U,Grant,,,,,,,,,,,,,
S180118,Arc,0.91,N,45.37,9.92,10.5,F,Grant,,,,,,,,,,,,,
S180119,Arc,1.02,N,45.68,10.95,9.06,F,Grant,,,,,,,,,,,,,
S180120,Arc,1,N,44.04,10.35,8.89,F,Grant,,,,,,,,,,,,,
S180122,Arc,2.5,N,60.38,13.76,13.12,M,Bailey,,,,,,,,,,,,,
S180124,Arc,0.95,N,44.17,10,9.39,U,Bailey,,,,,,,,,,,,,
S180123,Arc,1.17,N,46.7,10.61,10.33,F,Bailey,,,,,,,,,,,,,
S180121,Arc,1.74,N,53.57,11.81,10.05,F,Bailey,,,,,,,,,,,,,
S180111,Arc,0.87,N,41.74,9.56,9.35,U,Bailey,,,,,,,,,,,,,
S180112,Arc,1.09,N,44.25,10.55,8.87,F,Bailey,,,,,,,,,,,,,
S180113,Arc,2.05,N,56.33,13.46,11.11,F,Bailey,,,,,,,,,,,,,
S180114,Arc,3.17,N,63.74,15.04,13.75,F,Bailey,,,,,,,,,,,,,
S180115,Arc,2.45,N,56.74,13.79,13.12,M,Bailey,,,,,,,,,,,,,
S180116,Arc,2.41,N,56.59,13.41,14.73,M,Bailey,,,,,,,,,,,,,
S180309,Ruth,3.61,N,73.61,15.52,17.35,F,Bailey,,,,,,,,,,,,,
S180319,Ruth,1.83,N,57.95,11.75,13.31,F,Bailey,,,,,,,,,,,,,
S180318,Ruth,1.81,N,54.03,12.2,11.86,F,Bailey,,,,,,,,,,,,,
S180317,Ruth,1.78,N,54.93,11.73,12.07,F,Bailey,2.97,6.57,Grant,20,,,,,,,,,
S180310,Ruth,1.3,N,48.19,11.13,11.38,F,Bailey,,,,,,,,,,,,,
S180311,Ruth,1.36,Y,48.6,10.9,11.37,F,Bailey,,,,,,,,,,,,,
S180313,Ruth,2.47,N,65.75,13.45,14.23,F,Bailey,,,,,,,,,,,,,
S180316,Ruth,1.33,N,51.32,10.39,12.06,M,Bailey,2.83,5.75,Grant,17,,,,,,,,,
S180315,Ruth,1.03,N,44.98,10.1,10.45,F,Bailey,,,,,,,,,,,,,
S180314,Ruth,0.51,N,37,8.08,8.3,U,Bailey,,,,,,,,,,,,,
S180328,Tern,2.08,N,53.75,12.63,10.96,F,Bailey,2.68,6.17,Grant,,,,,,,,,,
S180329,Tern,2.71,N,58.3,11.68,13.15,F,Bailey,3.76,6.41,Grant,,,,,,,,,,
S180340,Tern,1.55,N,49.06,11.73,11.8,M,Bailey,3.22,6.27,Grant,,,,,,,,,,
S180339,Tern,0.62,N,39.11,8.27,8.61,U,Bailey,2,4.48,Grant,,,,,,,,,,
S180336,Tern,2.07,N,52.43,12.78,10.41,F,Bailey,,,,,,,,,,,,,
S180335,Tern,1.82,N,50.81,11.76,11.28,F,Bailey,,,,,,,,,,,,,
S180333,Tern,1.99,N,54.1,12.01,10.53,F,Bailey,,,,,,,,,,,,,
S180332,Tern,0.34,N,31.2,6.87,7.1,U,Bailey,1.17,3.65,Grant,,,,,,,,,,
S180330,Tern,0.63,N,37.63,8.71,8.31,M,Bailey,,,,,,,,,,,,,
S180331,Tern,0.43,N,34.84,7.49,8.76,U,Bailey,,,,,,,,,,,,,
S180061,G,1.27,N,49.19,10.28,13.62,F,Louis,,,,,,,,,,,,,
S180063,G,1.17,N,51.33,9.83,11.45,F,Louis,,,,,,,,,,,,,
S180064,G,0.84,N,45.23,8.1,10.69,F,Louis,,,,,,,,,,,,,
S180065,G,0.75,N,41.54,8.48,11.22,M,Louis,,,,,,,,,,,,,
S180066,G,0.87,N,47.73,8.01,10.94,F,Louis,,,,,,,,,,,,,
S180070,G,0.9,N,42.06,9.72,10.9,F,Louis,,,,,,,,,,,,,
S180068,G,0.85,N,46.66,8.64,10.97,F,Louis,,,,,,,,,,,,,
S180067,G,0.83,N,44.64,9.55,10.56,F,Louis,,,,,,,,,,,,,
S180069,G,0.72,N,45.18,8,11.63,F,Louis,,,,,,,,,,,,,
S180062,G,1.33,N,48.03,9.42,13.39,F,Louis,,,,,,,,,,,,,
S180249,Ruth,1.55,N,48.66,11.08,11.86,M,Louis,,,,,,,,,,,,,
S180250,Ruth,1.09,N,47.06,9.71,11.01,F,Louis,,,,,,,,,,,,,
S180251,Ruth,1,N,45.6,9.44,9.72,F,Louis,,,,,,,,,,,,,
S180252,Ruth,1.46,N,55.06,10.96,12.94,M,Louis,,,,,,,,,,,,,
S180253,Ruth,0.47,N,37.04,7.4,9.16,M,Louis,,,,,,,,,,,,,
S180254,Ruth,1.1,N,47.63,10.75,11.65,U,Louis,,,,,,,,,,,,,
S180255,Ruth,0.82,N,44.55,9.34,9.62,F,Louis,,,,,,,,,,,,,
S180256,Ruth,2.66,N,62.66,13.4,15.26,M,Louis,,,,,,,,,,,,,
S180257,Ruth,0.56,N,38.3,8.05,8.24,M,Louis,,,,,,,,,,,,,
S180258,Ruth,0.65,N,40.12,8.75,8.81,F,Louis,,,,,,,,,,,,,
S180421,Watson,0.43,N,35.36,7.87,7.94,U,Louis,1.82,4.23,Grant,,,,,,,,,,
S180422,Watson,0.62,N,38.23,9.2,9.49,M,Louis,,,,,,,,,,,,,
S180423,Watson,0.62,N,39.26,9.45,9.06,F,Louis,,,,,,,,,,,,,
S180424,Watson,0.95,N,47.11,9.97,10.73,F,Louis,2.53,5.4,Grant,,,,,,,,,,
S180425,Watson,0.69,Y,39.69,9.52,8.84,F,Louis,2.04,4.66,Grant,21,,,,,,,,,
S180426,Watson,0.54,N,39.02,7.97,8.57,F,Louis,,,,,,,,,,,,,
S180427,Watson,1.28,N,49.03,11.7,12.72,M,Louis,2.92,5.83,Grant,,,,,,,,,,
S180428,Watson,0.89,N,43.85,9.79,9.91,F,Louis,1.96,5.1,Grant,18,,,,,,,,,
S180429,Watson,0.36,N,32.84,7.48,7.66,M,Louis,,,,,,,,,,,,,
S180430,Watson,1.19,N,49.94,11.53,12.71,M,Louis,,,,,,,,,,,,,
S180390,Engineer,1.21,N,47.44,9.49,11.41,M,Louis,,,,,,,,,,,,,
S180389,Engineer,1.57,N,53.89,11.77,12.52,F,Louis,3.11,6.57,Grant,,,,,,,,,,
S180388,Engineer,1.83,N,52.69,10.94,12.07,F,Louis,,,,,,,,,,,,,
S180387,Engineer,1.33,N,51.23,10.01,10.99,F,Louis,2.67,5.73,Grant,,,,,,,,,,
S180386,Engineer,1.76,N,51.83,11.17,12.11,F,Louis,3.18,6.14,Grant,,,,,,,,,,
S180385,Engineer,2.62,N,51.19,12.4,11.05,F,Louis,,,,,,,,,,,,,
S180384,Engineer,1.36,N,50.1,9.97,11.74,F,Louis,,,,,,,,,,,,,
S180383,Engineer,1.93,N,56,12.21,12.49,F,Louis,,,,,,,,,,,,,
S180382,Engineer,1.46,N,50.2,11.06,12.68,M,Louis,,,,,,,,,,,,,
S180381,Engineer,1.64,N,51.07,11.1,12.79,M,Louis,3.36,6.54,Grant,,,,,,,,,,
S180201,Echo,3.94,N,67.98,15.83,17.09,F,Bailey,5.57,7.6,Grant,22,,,,,,,,,
S180202,Echo,0.48,N,42.51,7.27,9.37,F,Bailey,,,,,,,,,,,,,
S180203,Echo,0.91,N,48.88,9.25,11.58,F,Bailey,2.77,5.71,Grant,20,,,,,,,,,
S180204,Echo,2.21,N,61.16,12.28,14.64,F,Bailey,3.72,7.16,Grant,21,,,,,,,,,
S180205,Echo,1.85,N,58.13,12.12,13.44,F,Bailey,,,,,,,,,,,,,
S180206,Echo,0.93,N,49.05,9.31,11.81,F,Bailey,,,,,,,,,,,,,
S180207,Echo,0.56,N,39.47,7.06,9.73,F,Bailey,,,,,,,,,,,,,
S180208,Echo,0.79,N,45.8,8.47,11.91,F,Bailey,,,,,,,,,,,,,
S180209,Echo,0.49,N,44.63,7.76,10.1,U,Bailey,1.74,4.78,Grant,19,,,,,,,,,
S180210,Echo,0.66,N,45.26,8.36,10.54,F,Bailey,,,,,,,,,,,,,
S180481,Engineer,1.11,N,47.31,10.28,11.67,F,Bailey,,,,,,,,,,,,,
S180482,Engineer,1.66,N,50.8,12.19,10.97,F,Bailey,,,,,,,,,,,,,
S180483,Engineer,1.24,N,51.02,11.17,11.05,F,Bailey,,,,,,,,,,,,,
S180484,Engineer,1.34,N,48.99,9.54,10.6,F,Bailey,,,,,,,,,,,,,
S180485,Engineer,0.87,N,45.69,9.2,10.36,F,Bailey,,,,,,,,,,,,,
S180486,Engineer,2.71,N,62.04,12.88,13.8,F,Bailey,,,,,,,,,,,,,
S180487,Engineer,1.47,Y,53.56,10.94,12.18,M,Bailey,,,,,,,,,,,,,Black spot under left pectoral fin
S180488,Engineer,1.31,N,52.07,9.99,11.43,F,Bailey,,,,,,,,,,,,,
S180489,Engineer,1.2,N,50.47,10.79,11.24,F,Bailey,,,,,,,,,,,,,
S180490,Engineer,1.21,N,50.36,9.87,11.98,F,Bailey,,,,,,,,,,,,,
S180742,Long,0.46,N,40.06,7.77,7.95,F,Louis,,,,,,,,,,,,,
S180743,Long,1.39,Y,52.8,11.06,12.47,M,Louis,,,,,,,,,,,,,
S180744,Long,1.1,N,52.99,10.36,12.88,M,Louis,,,,,,,,,,,,,
S180745,Long,0.57,N,40.17,8.04,9.19,M,Louis,,,,,,,,,,,,,
S180738,Long,0.79,N,47.19,9.09,11.38,M,Louis,,,,,,,,,,,,,
S180739,Long,1.03,N,52.5,10.23,11.9,F,Louis,,,,,,,,,,,,,
S180740,Long,1.07,N,53.15,10.41,12.74,M,Louis,,,,,,,,,,,,,
S180741,Long,1.13,N,51.6,10.26,12.87,M,Louis,,,,,,,,,,,,,
S180733,Long,1.11,Y,51.62,10.41,12.25,M,Louis,,,,,,,,,,,,,
S180732,Long,0.76,N,47.63,8.24,11.08,M,Louis,,,,,,,,,,,,,
S180731,Long,0.53,N,40.91,7.76,8.47,M,Louis,,,,,,,,,,,,,
S180730,Long,0.91,N,49,9.25,11.35,M,Louis,,,,,,,,,,,,,
S180584,Spirit,0.66,N,43.33,8.07,9.71,F,Bailey,,,,,,,,,,,,,
S180583,Spirit,0.46,N,38.59,7.2,8.87,U,Bailey,,,,,,,,,,,,,
S180582,Spirit,0.9,N,43.2,8.85,10.45,F,Bailey,,,,,,,,,,,,,
S180581,Spirit,1.31,N,52.69,10.22,11.52,F,Bailey,,,,,,,,,,,,,
S180580,Spirit,0.63,N,41.45,8.18,9.12,F,Bailey,,,,,,,,,,,,,
S180579,Spirit,0.64,N,41.76,7.23,8.92,F,Bailey,,,,,,,,,,,,,
S180578,Spirit,0.6,N,44.64,7.96,10.8,M,Bailey,,,,,,,,,,,,,
S180577,Spirit,1.6,N,53.99,10.25,13.28,F,Bailey,,,,,,,,,,,,,
S180576,Spirit,0.57,N,37.84,8.39,8.53,F,Bailey,,,,,,,,,,,,,
S180575,Spirit,0.54,N,40.94,7.52,8.86,F,Bailey,,,,,,,,,,,,,
S180341,Watson,1.08,N,49.95,10.73,12.65,F,Bailey,,,,,,,,,,,,,
