FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,RakerNum,ProcessedBy,Scale ,Caudal Peduncle depth PINK ,Mouth Length  YELLOW ,Snout Length DARK BLUE,Eye Length GREEN ,Head length RED ,Standard Length BLACK ,Caudal peduncle,Jaw Length,Snout Length,Eye Diameter,Head Length,SL,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180101,Arc,1.74,N ,54.42,13.73,11.33,U,Louis,,,,,1926.08,96.19,182.48,218.4,168.11,690.03,2359.72,0.249704062,0.473708257,0.566954644,0.436404511,1.791280736,6.125706097,,,,,,,,,
S180102,Arc,2.96,N ,60.54,15.92,11.2,F,Louis,,,,,1915.59,103.58,121.49,167.38,163,672.24,2414.42,0.270360568,0.317108567,0.436888896,0.425456387,1.754655224,6.302027052,,,,,,,,,
S180103,Arc,3.74,N ,62.04,15.85,11.24,F,Louis,,,,,1920.46,96.19,161.55,192.09,180.9,714.03,2575.17,0.250434792,0.420602356,0.500114556,0.470980911,1.859007738,6.704565573,,,,,,,,,
S180104,Arc,3.08,N ,57.72,14.44,11.3,F,Louis,,,,,1914.34,84.85,146.48,191.72,180.1,684.03,2516.07,0.22161685,0.382586166,0.500746994,0.470397108,1.786594858,6.571638267,,,,,,,,,
S180105,Arc,1.26,N ,48.05,11.32,9.85,F,Louis,,,,,1936.5,78.92,107.33,157.84,150,546.3,1926.08,0.203769688,0.277123677,0.407539375,0.387296669,1.410534469,4.973095791,,,,,,,,,
S180106,Arc,0.8,N ,43.97,10.15,9.56,M,Louis,,,,,1932.04,78.92,99.32,156.46,150.48,541.63,1818.25,0.204240078,0.257034016,0.404908801,0.389432931,1.401704934,4.705518519,,,,,,,,,
S180107,Arc,0.74,N ,41.22,9.65,8.47,U,Louis,,,,,1920.15,66,96.75,122.38,138.13,475.37,1746,0.171861573,0.251933443,0.31867302,0.359685441,1.237846002,4.546519803,,,,,,,,,Seems like little tumor on the left side
S180108,Arc,0.65,N ,43.99,9.39,8.73,F,Louis,,,,,1932.6,49.48,94.87,120.6,132.14,480.15,1830,0.128014074,0.245446549,0.312014902,0.341871055,1.242238435,4.734554486,,,,,,,,,
S180109,Arc,1.02,N ,48,11.13,8.91,F,Louis,,,,,1908.08,67.08,94.87,141.22,150.12,504.04,2000.6,0.175778793,0.248600688,0.370057859,0.393379733,1.320804159,5.242442665,,,,,,,,,
S180110,Arc,0.88,N ,47.04,10.63,9.74,F,Louis,,,,,1926.23,68.41,110.15,120.6,157.04,480.15,1962.21,0.177574848,0.285921204,0.313046729,0.407635641,1.24634649,5.09339487,,,,,,,,,
S180111,Arc,0.87,N,41.74,9.56,9.35,U,Bailey,,,,,1914.6,77.65,115.07,126.93,147.11,510.47,1770.65,0.202783871,0.300506633,0.33147916,0.384179463,1.333098297,4.624072913,,,,,,,,,
S180112,Arc,1.09,N,44.25,10.55,8.87,F,Bailey,,,,,1920,68.07,112.67,127.42,146.05,510.08,1904.13,0.177265625,0.293411458,0.331822917,0.380338542,1.328333333,4.958671875,,,,,,,,,
S180113,Arc,2.05,N,56.33,13.46,11.11,F,Bailey,,,,,1914.76,100.5,129.07,141.78,182.2,602.61,2329.03,0.262434979,0.337039629,0.370229167,0.475777643,1.573591468,6.081780484,,,,,,,,,
S180114,Arc,3.17,N,63.74,15.04,13.75,F,Bailey,,,,,1920.94,108.01,167.46,156.52,177.28,695.62,2658.55,0.281138401,0.43588035,0.407404708,0.461440753,1.810623965,6.919919414,,,,,,,,,
S180115,Arc,2.45,N,56.74,13.79,13.12,M,Bailey,,,,,1896.24,104.01,147.76,173.57,186.56,678.11,2371.49,0.274253259,0.389613129,0.457668861,0.491920854,1.788038434,6.253137788,,,,,,,,,
S180116,Arc,2.41,N,56.59,13.41,14.73,M,Bailey,,,,,1920,97,164.61,196.78,200.11,696.41,2412.22,0.252604167,0.428671875,0.512447917,0.521119792,1.813567708,6.281822917,,,,,,,,,
S180117,Arc,0.77,N,38.79,9.59,8.33,U,Grant,,,,,1930.12,81.15,110.22,124.47,148.34,482.82,1657.84,0.21022009,0.285526289,0.322441092,0.384276625,1.250751249,4.294655255,,,,,,,,,
S180118,Arc,0.91,N,45.37,9.92,10.5,F,Grant,,,,,1910.12,70.04,112.22,123.07,146.89,464.62,1927.35,0.183339267,0.293751178,0.322152535,0.384504639,1.216206312,5.045101878,,,,,,,,,
S180119,Arc,1.02,N,45.68,10.95,9.06,F,Grant,,,,,1914.6,76.67,123.68,136.2,158.67,534.73,1968,0.20022459,0.322991748,0.355687872,0.414368537,1.396453567,5.139454716,,,,,,,,,
S180120,Arc,1,N,44.04,10.35,8.89,F,Grant,,,,,1926.93,69.72,115.76,128.81,153.12,518.23,1872.02,0.18090953,0.30037417,0.334236324,0.397315938,1.344703752,4.857519474,,,,,,,,,
S180121,Arc,1.74,N,53.57,11.81,10.05,F,Bailey,,,,,1920.94,88.05,152.96,149.39,183.99,620.05,2274.2,0.22918467,0.398138411,0.388846086,0.478906161,1.613923392,5.919497746,,,,,,,,,
S180122,Arc,2.5,N,60.38,13.76,13.12,M,Bailey,,,,,1926.23,105.35,154.76,192.26,206.94,751.18,2544.71,0.273461632,0.401717344,0.499057745,0.537163267,1.949870992,6.60541576,,,,,,,,,
S180123,Arc,1.17,N,46.7,10.61,10.33,F,Bailey,,,,,1931,71.81,108.47,127.06,156.63,520,1930.52,0.185939928,0.280864837,0.329000518,0.405567064,1.346452615,4.998757121,,,,,,,,,
S180124,Arc,0.95,N,44.17,10,9.39,U,Bailey,,,,,1920.76,75.36,129.81,134.5,153.73,540.37,1782.25,0.196172348,0.337913118,0.350121827,0.400180137,1.40665674,4.639439597,,,,,,,,,
S180125,Arc,1.22,N,45.28,10.31,10.13,F,Grant,,,,,1920,71.11,108.53,117.52,142.41,493.34,1879.16,0.185182292,0.282630208,0.306041667,0.370859375,1.284739583,4.893645833,,,,,,,,,
S180126,Arc,1.91,N,54.22,12.85,12.76,U,Grant,,,,,1921.84,90.93,131.62,173.67,190.06,658.19,2209.6,0.236570162,0.342432252,0.451832619,0.494474046,1.712395413,5.748657537,,,,,,,,,
S180127,Arc,2.1,N,60.44,13.86,12.98,F,Grant,,,,,1919.87,94.24,137.41,157.61,173.37,670.11,2466.92,0.245433285,0.357862772,0.410470501,0.451514946,1.745196289,6.424705839,,,,,,,,,
S180128,Arc,2.07,N,59.05,13.31,12.44,F,Grant,,,,,1920.94,90,151.35,149,186.14,659.47,2416.86,0.23426031,0.393947755,0.387830958,0.484502379,1.716529407,6.290826366,,,,,,,,,
S180129,Arc,0.97,N,46.12,10.14,9.38,F,Grant,,,,,1914.01,75.17,112.61,127.14,162.48,514.06,2008,0.196367835,0.294172967,0.332129926,0.424449193,1.342887446,5.245531633,,,,,,,,,
S180130,Arc,0.87,N,42.64,9.99,8.55,F,Grant,,,,,1923.38,64.72,103.87,127.36,147.41,499.38,1770.29,0.168245485,0.270019445,0.331083821,0.383205607,1.298183406,4.60202872,,,,,,,,,
S180131,Arc,3.42,N,67.23,15.49,15.32,F,Bailey,,,,,1902.09,101.24,165.46,166.59,207.33,695.84,2817.64,0.266128312,0.434942616,0.437913033,0.545005757,1.829145834,7.406694741,,,,,,,,,
S180132,Arc,2.61,N,60.43,13.73,13.55,M,Bailey,,,,,1920.23,109.33,152.74,189.33,203.73,700.03,2578.1,0.284679439,0.397712774,0.492987819,0.530483328,1.822776438,6.712997922,,,,,,,,,
S180133,Arc,2.99,N,67.57,14.01,14.9,F,Bailey,,,,,1908.3,117.11,151.98,170.07,201,709.63,2769.16,0.306843788,0.398207829,0.445606037,0.526646754,1.859325054,7.255567783,,,,,,,,,
S180134,Arc,2.64,N,66.88,13.98,14.9,F,Bailey,,,,,1896.61,98.89,151.64,161.2,183.15,669.26,2699.43,0.260701989,0.399765898,0.42496876,0.482835164,1.764358513,7.116460421,,,,,,,,,
S180135,Arc,0.69,N,42.64,9.05,9.64,M,Bailey,,,,,1920.6,71.36,131.23,138.23,172.63,544.01,1740.09,0.185775279,0.34163803,0.359861502,0.449416849,1.41625013,4.530068729,,,,,,,,,
S180136,Arc,1.13,N,44.83,11.02,10.06,F,Bailey,,,,,1908.24,66.67,107,109.04,142.76,462.9,1824.63,0.174689767,0.280363057,0.285708297,0.374061963,1.212897749,4.780923783,,,,,,,,,
S180137,Arc,0.74,N,43.38,8.68,8.85,F,Bailey,,,,,1920.94,70.03,100.06,105.37,140.98,488.2,1770.16,0.18228055,0.260445407,0.274266765,0.366955761,1.270732037,4.607535894,,,,,,,,,
S180138,Arc,0.68,N,39.88,8.99,9.96,M,Bailey,,,,,1935.02,72.86,92.04,124.34,137.59,483.2,1640.62,0.188266788,0.237826999,0.321288669,0.355526041,1.248565906,4.239284348,,,,,,,,,
S180139,Arc,0.95,N,43.55,9.76,8.64,F,Bailey,,,,,1932.34,64,99.02,106.71,136.24,453.28,1741.45,0.165602327,0.25621785,0.276116004,0.352525953,1.172878479,4.506065185,,,,,,,,,
S180140,Arc,0.6,N,39.25,8.54,8.44,U,Bailey,,,,,1926.04,68.16,96.54,111.35,133.45,451.66,1609.89,0.176943366,0.250617848,0.289064609,0.346436211,1.172509398,4.179274574,,,,,,,,,
S180141,Arc,0.84,N,42.67,10.58,9.26,U,Louis,,,,,1933.57,76.42,122.78,132.2,144.35,510.84,1784.92,0.19761374,0.317495617,0.341854704,0.373273272,1.320976225,4.6156074,,,,,,,,,
S180142,Arc,0.96,N,46.62,10.76,7.8,F,Louis,,,,,1929.03,70.09,112.36,117.5,134.56,502.06,1892.14,0.181671617,0.291234455,0.304557213,0.348776328,1.30132761,4.904381995,,,,,,,,,
S180143,Arc,1.08,N,45.53,10.45,8.72,F,Louis,,,,,1938.23,67.03,113.41,117,151.65,524.75,1927.13,0.172915495,0.292560738,0.301821765,0.391207442,1.353683515,4.971365627,,,,,,,,,
S180144,Arc,0.64,N,38.4,9.07,8.44,U,Louis,,,,,1938.33,70.05,116.35,124.58,141.96,509.19,1662.53,0.180696785,0.300129493,0.321359108,0.366191515,1.313476033,4.288562835,,,,,,,,,
S180145,Arc,1.57,N,50.31,11.96,9.75,F,Louis,,,,,1931.38,79.39,102.58,127.48,152.55,540.01,2091.8,0.205526618,0.265561412,0.330023092,0.394924872,1.397990038,5.415298905,,,,,,,,,
S180146,Arc,0.81,N,43.41,10.47,8.92,U,Louis,1.96,4.75,22,Grant,1914.37,74.69,111.52,129.11,144.25,517.34,1788.25,0.195077232,0.291270758,0.337212765,0.3767558,1.351201701,4.670596593,,,,,,,,,
S180147,Arc,1.89,Y,55.29,13.9,12.08,M,Louis,2.85,6.31,24,Grant,1914.24,98.95,161.24,187.67,189.39,720,2329.51,0.258457665,0.421159311,0.490194542,0.494687187,1.880641926,6.084686351,,,,,,,,,Brown spot left fin
S180148,Arc,2.01,N,57.93,13.74,12.61,M,Louis,,,,,1938.46,100.02,154.4,180.14,183.87,726.04,2442.47,0.2579883,0.398254284,0.464647194,0.474268234,1.872723709,6.300026825,,,,,,,,,
S180149,Arc,2.91,N,56.73,15.41,11.16,F,Louis,,,,,1922.71,100.32,125.42,162.5,184.07,652.15,2512.48,0.260881776,0.32615423,0.422580628,0.478673331,1.69591358,6.533694629,,,,,,,,,
S180150,Arc,1.32,N,46.91,11.65,8.42,F,Louis,,,,,1928.39,68.01,100.17,133.54,156.71,534.77,1980.45,0.176338811,0.259724433,0.346247388,0.40632341,1.386571181,5.134983069,,,,,,,,,
S180151,Arc,0.51,N,37.55,9.02,6.56,F,Louis,,,,,1945.27,65.09,99.36,115.43,128.71,434.67,1573.65,0.167303254,0.255388712,0.296694032,0.330828111,1.117248505,4.04481126,,,,,,,,,
S180152,Arc,0.88,N,42.93,10.08,8.73,F,Louis,,,,,1932.01,69.18,104.48,121.4,135.39,457.12,1839.54,0.17903634,0.270391975,0.314180568,0.350386385,1.183016651,4.760689644,,,,,,,,,"Seems like a nematode emerged from an egg inside the abdomen, the egg look like a tumor"
S180153,Arc,0.74,N,43.81,9.56,7.07,F,Louis,,,,,1938.78,65.24,109.51,115,145.43,462.02,1875.85,0.168250137,0.282419872,0.296578261,0.375055447,1.191522504,4.837707218,,,,,,,,,
S180154,Arc,0.81,N,42.91,11.02,9.48,M,Louis,,,,,1934.1,77.47,136.06,140.06,162.53,524.31,1776.19,0.200274029,0.351739827,0.362080554,0.420169588,1.355436637,4.591773952,,,,,,,,,
S180155,Arc,0.63,N,42.9,8.56,8.25,F,Louis,,,,,1933.57,64.83,108.18,112.67,137.8,461.36,1788.82,0.167643271,0.279741618,0.291352266,0.35633569,1.193026371,4.625692372,,,,,,,,,
S180156,Arc,2.19,N,56.2,14.32,11.07,F,Louis,2.3,5.72,24,Grant,1938.29,92.41,143.81,154.47,188.6,636,2420.78,0.238380222,0.37097132,0.398469785,0.486511306,1.640621372,6.244627997,,,,,,,,,
S180157,Arc,1.07,N,47.34,10.75,10.12,F,Louis,,,,,1936.07,76.01,104.06,125,155.91,522.86,1936.41,0.196299721,0.268740283,0.322818906,0.402645566,1.350312747,5.000878067,,,,,,,,,
S180158,Arc,2.9,N,63.94,16.56,14.23,M,Louis,3.09,6.94,24,Grant,1920.07,123.02,170.86,185.01,200.31,751.38,2640.05,0.320352904,0.444931695,0.48177931,0.521621608,1.956647414,6.874879562,,,,,,,,,
S180159,Arc,2.66,N,63.56,15.68,12.53,F,Louis,2.77,6.5,25,Grant,1936.15,105.02,128.9,168.19,195.32,2648.05,2634,0.271208326,0.332877102,0.434341348,0.504403068,6.838442269,6.802158924,,,,,,,,,
S180160,Arc,0.87,N,45.38,10.54,8.5,F,Louis,,,,,1936.59,69.03,112.49,127.14,140.66,528.31,1904.82,0.178225644,0.290433184,0.328257401,0.363164118,1.364021295,4.917974378,,,,,,,,,
S180161,Arc,0.43,N,33.39,7.69,7.14,U,Bailey,1.32,3.85,23,Grant,1938.04,61.6,89.2,98.62,124.33,398.32,1440.62,0.158923448,0.230129409,0.254432313,0.320762213,1.027636169,3.716693154,,,,,,,,,
